Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,782,0,0,0,0,13,795
6,782,0,0,0,0,13,795
7,782,0,0,0,0,13,795
8,783,0,0,0,0,13,796
9,791,0,0,0,0,13,804
10,791,0,0,0,0,13,804
11,792,0,0,0,0,24,816
12,800,0,0,0,0,24,824
13,800,0,0,0,0,24,824
14,802,0,0,0,0,25,827
15,802,0,0,0,0,25,827
17,802,0,0,0,0,25,827
18,843,0,0,0,0,17,860
19,843,0,0,0,0,17,860
20,862,0,0,0,0,17,879
21,862,0,0,0,0,17,879
22,950,0,0,0,0,17,967
23,949,0,0,0,0,9,958
24,951,0,0,0,0,9,960
25,955,0,0,0,0,9,964
26,955,0,0,0,0,9,964
27,956,0,0,0,0,17,973
28,956,0,0,0,0,17,973
29,1005,0,0,0,0,18,1023
30,1015,0,0,0,0,18,1033
31,1013,0,0,0,0,18,1031
32,1013,0,0,0,0,18,1031
33,1015,0,0,0,0,19,1034
34,1048,0,0,0,0,19,1067
35,1067,0,0,0,0,20,1087
36,1073,0,0,0,0,22,1095
37,1073,0,0,0,0,22,1095
38,1112,0,0,0,0,22,1134
39,1133,0,0,0,0,22,1155
40,1133,0,0,0,0,22,1155
41,1141,0,0,0,0,22,1163
42,1185,0,0,0,0,385,1570
43,1184,0,0,0,0,385,1569
44,1173,0,0,0,0,215,1388
45,1213,0,0,0,0,223,1436
46,1244,0,0,0,0,223,1467
47,1244,0,0,0,0,223,1467
48,1244,0,0,0,0,223,1467
49,1244,0,0,0,0,223,1467
50,1230,0,0,0,0,223,1453
51,1230,0,0,0,0,223,1453
