Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,17,0,0,0,0,0,17
6,17,0,0,0,0,0,17
7,17,0,0,0,0,0,17
8,18,0,0,0,0,0,18
9,18,0,0,0,0,0,18
10,10,0,0,0,0,0,10
11,38,0,0,47,0,52,137
12,60,0,0,47,0,52,159
13,77,0,0,47,0,60,184
14,138,0,0,43,0,121,302
15,650,0,0,43,0,129,822
17,701,0,0,43,0,129,873
18,780,12,0,43,0,145,980
19,853,12,0,43,0,154,1062
20,833,12,0,43,0,155,1043
21,840,12,0,43,0,158,1053
22,863,12,0,45,0,158,1078
23,920,12,0,45,0,158,1135
24,921,12,0,45,0,149,1127
25,923,12,0,45,0,148,1128
26,882,12,0,45,0,148,1087
27,1244,48,0,45,0,148,1485
28,1263,48,0,45,0,154,1510
29,1271,40,0,24,0,154,1489
30,1293,40,0,24,0,154,1511
31,1305,40,0,24,0,154,1523
32,1346,40,0,24,0,154,1564
33,1488,40,0,24,0,154,1706
34,1536,40,0,24,0,154,1754
35,1574,40,0,24,0,154,1792
36,1588,40,0,24,0,154,1806
37,1597,40,0,24,0,154,1815
38,1594,40,0,24,0,154,1812
39,1813,40,0,24,0,154,2031
40,8499,40,0,24,0,169,8732
41,1797,40,0,24,0,170,2031
42,1957,40,0,24,0,170,2191
43,2039,40,0,24,0,170,2273
44,1979,40,0,24,0,156,2199
45,1948,40,0,24,0,163,2175
46,1885,40,0,24,0,163,2112
47,1990,40,0,24,0,163,2217
48,1951,40,0,24,0,163,2178
49,2022,40,0,24,0,163,2249
50,2158,40,0,24,0,163,2385
51,2073,40,0,24,0,163,2300
52,2382,40,0,24,0,163,2609
53,2378,40,0,24,0,163,2605
54,2892,40,0,24,0,163,3119
55,2382,40,0,18,0,157,2597
56,2733,40,0,18,0,147,2938
57,2764,40,0,18,0,148,2970
58,2738,82,0,18,0,179,3017
59,8,0,0,0,0,0,0
60,8,0,0,0,0,0,0
61,8,0,0,0,0,0,0
62,8,0,0,0,0,0,0
63,8,0,0,0,0,0,0
64,8,0,0,0,0,0,0
65,8,0,0,0,0,0,0
