Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
26,0,0,2001,0,0,998,0,0,0,0,2999
27,0,0,2063,0,0,1088,0,0,0,0,3151
28,0,0,2167,0,0,1441,0,0,0,0,3608
29,0,0,2559,0,0,1521,0,0,0,0,4080
30,0,0,2569,0,0,1539,0,0,0,0,4108
31,0,0,2799,0,0,1677,0,0,0,0,4476
32,0,0,3613,0,0,1799,0,0,0,0,5412
33,0,0,3621,0,0,1799,0,0,0,0,5420
34,0,0,3712,0,0,1825,0,0,0,0,5537
35,0,0,3861,0,0,1825,0,0,0,0,5686
36,0,0,3913,0,0,1861,0,0,0,0,5774
37,0,0,3988,0,0,1897,0,0,0,0,5885
38,0,0,5007,0,12,2521,0,0,0,0,7540
39,0,0,7602,0,12,3127,0,0,0,0,10741
40,0,0,7754,0,12,3377,0,0,0,0,11143
41,0,0,8120,0,12,3448,0,0,0,0,11580
42,0,0,8272,0,12,3437,37,0,0,0,11758
43,0,0,8455,0,12,3448,37,0,0,0,11952
44,0,0,7198,0,0,2832,37,0,0,0,10067
45,0,0,7120,0,0,2702,37,0,0,0,9859
46,0,0,7207,0,0,2742,37,0,0,0,9986
47,0,0,7288,0,0,2769,37,0,0,0,10094
48,0,0,7035,0,0,2757,37,0,0,0,9829
49,0,0,7137,0,0,2788,37,0,0,0,9962
50,0,0,7371,0,0,2923,37,0,0,0,10331
51,0,0,7509,0,0,2934,37,0,0,0,10480
52,0,0,7456,0,0,3203,37,0,0,0,10696
53,0,0,8039,0,0,3384,37,0,0,0,11460
54,0,0,8367,0,0,3501,37,0,0,0,11905
55,0,0,8717,0,0,3541,37,0,0,0,12295
56,0,0,11974,536,0,7723,40,0,0,0,20273
57,0,0,12439,612,0,8956,40,0,0,0,22047
58,0,0,13704,727,0,11571,44,0,0,0,26046
59,0,0,15096,1387,0,13217,44,0,0,0,29744
60,1843,0,23007,1832,82,18125,525,0,0,72,45486
61,1890,0,25282,1941,82,18789,468,0,0,72,48524
62,1881,0,27928,2187,82,21119,478,0,0,71,53746
63,1879,0,31149,2518,82,23590,502,0,0,70,59790
64,1884,241,38506,2849,82,27357,649,0,0,70,71638
65,1868,252,43815,3048,82,29660,739,0,0,70,79534
