Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,0,0,0,0,0,74,74
6,0,0,0,0,0,74,74
7,0,0,0,0,0,80,80
8,0,0,0,0,0,80,80
9,0,0,0,0,0,80,80
10,0,0,0,0,0,81,81
11,0,0,0,0,0,81,81
12,0,0,0,0,0,81,81
13,0,0,0,0,0,81,81
14,0,0,0,0,0,81,81
15,0,0,0,0,0,81,81
17,0,0,0,0,0,81,81
18,0,0,0,0,0,185,185
19,0,0,0,0,0,183,183
20,0,0,0,0,0,182,182
21,0,0,0,0,0,179,179
22,72,0,0,0,0,227,299
23,98,0,0,0,0,215,313
24,98,0,0,0,0,223,321
25,320,0,0,0,0,152,472
26,371,0,0,0,0,155,526
27,380,0,0,0,0,195,575
28,385,0,0,0,0,195,580
29,385,0,0,0,0,286,671
30,385,0,0,0,0,287,672
31,385,0,0,0,0,283,668
32,385,0,0,0,0,283,668
33,385,0,0,0,0,283,668
34,385,0,0,0,0,283,668
35,398,0,0,0,0,283,681
36,393,0,0,0,0,323,716
37,383,0,0,0,0,298,681
38,388,0,0,0,0,298,686
39,389,0,0,0,0,306,695
40,389,0,0,0,0,306,695
41,401,0,0,0,0,448,849
42,401,0,0,0,0,494,895
43,397,0,0,0,0,494,891
44,401,0,0,0,0,510,911
45,401,0,0,0,0,512,913
46,401,0,0,0,0,637,1038
47,399,0,0,0,0,646,1045
48,431,0,0,0,0,671,1102
49,465,0,0,0,0,697,1162
50,465,0,0,0,0,721,1186
51,465,0,0,0,0,780,1245
52,465,0,0,0,0,780,1245
53,465,0,0,0,0,781,1246
54,465,0,0,0,0,776,1241
55,465,0,0,0,0,807,1272
56,586,0,0,0,0,869,1455
57,592,0,0,0,0,938,1530
58,828,0,0,0,0,932,1760
59,828,0,0,0,0,950,1778
60,978,0,0,0,0,1023,2001
61,713,0,0,0,0,1023,1736
62,770,0,0,0,0,1058,1828
63,825,0,0,0,0,1010,1835
64,902,0,0,0,0,1224,2126
65,1045,0,0,0,0,1226,2271
