Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
20,7,0,0,0,1,1,9
21,7,0,0,0,1,1,9
22,7,0,0,0,1,1,9
23,7,0,0,0,1,1,9
24,7,0,0,0,1,1,9
25,7,0,0,0,1,1,9
26,7,0,0,0,1,1,9
27,7,0,0,0,1,1,9
28,7,0,0,0,1,1,9
29,7,0,0,0,1,1,9
30,7,0,0,0,1,1,9
31,7,0,0,0,1,1,9
32,7,0,0,0,1,1,9
33,7,0,0,0,1,1,9
34,7,0,0,0,1,1,9
35,7,0,0,0,1,1,9
36,7,0,0,0,1,1,9
37,7,0,0,0,1,1,9
38,7,0,0,0,1,1,9
39,7,0,0,0,1,1,9
40,7,0,0,0,1,1,9
41,7,0,0,0,1,1,9
42,7,0,0,0,1,1,9
43,7,0,0,0,1,1,9
44,7,0,0,0,1,1,9
45,7,0,0,0,1,1,9
46,7,0,0,0,1,1,9
47,8,0,0,0,1,1,10
48,7,0,0,0,1,1,9
49,7,0,0,0,1,1,9
50,7,0,0,0,1,1,9
51,7,0,0,0,1,1,9
52,6,0,0,0,1,1,8
53,6,0,0,0,1,1,8
54,6,0,0,0,1,1,8
55,6,0,0,0,1,1,8
56,6,0,0,0,1,1,8
